id,name,created_at,updated_at
79,Breast exam,10/28/2009 20:56:40,10/28/2009 20:56:40
80,Testicular exam,10/28/2009 20:57:38,10/28/2009 20:57:38
81,Tips for exam,10/28/2009 20:58:40,10/28/2009 20:58:40
82,My privacy rights,10/28/2009 20:59:28,10/28/2009 20:59:28
83,relationships,10/29/2009 19:09:30,10/29/2009 19:09:30
84,trust,10/29/2009 19:10:59,10/29/2009 19:10:59
85,good communication,10/29/2009 19:15:59,10/29/2009 19:15:59
86,"responsibility ",10/29/2009 19:17:38,10/29/2009 19:17:38
87,abstinence,10/29/2009 19:18:55,10/29/2009 19:18:55
88,choosing sex,10/29/2009 19:19:50,10/29/2009 19:19:50
89,masturbation,10/29/2009 19:21:27,10/29/2009 19:21:27
90,STDs,10/29/2009 19:28:56,10/29/2009 19:28:56
91,std,10/29/2009 19:48:21,10/29/2009 19:48:21
92,STDs,10/29/2009 19:48:47,10/29/2009 19:48:47
94,more,10/29/2009 19:59:00,10/29/2009 19:59:00
95,double protection,10/29/2009 20:51:46,10/29/2009 20:51:46
96,transgender,10/30/2009 21:41:52,10/30/2009 21:41:52
97,domestic violence,10/30/2009 22:13:18,10/30/2009 22:13:18
98,dating,10/30/2009 22:53:02,10/30/2009 22:53:02
99,Social Networks,02/22/2010 21:33:26,02/22/2010 21:33:26
101,lesbian,03/13/2010 00:28:31,03/13/2010 00:28:31
102,lesbian,03/13/2010 00:28:32,03/13/2010 00:28:32
103,types of services,03/13/2010 00:32:28,03/13/2010 00:32:28
104,types of services,03/13/2010 00:32:29,03/13/2010 00:32:29
105,test,05/07/2010 18:53:32,05/07/2010 18:53:32
107,get a test,05/07/2010 18:54:54,05/07/2010 18:54:54
